Date,USDZAR
10/12/2020,14.96
11/12/2020,14.96
14/12/2020,15.04
15/12/2020,15.00
16/12/2020,14.88
17/12/2020,14.82
18/12/2020,14.63
21/12/2020,14.72
22/12/2020,14.60
23/12/2020,14.68
24/12/2020,14.59
25/12/2020,14.54
28/12/2020,14.61
29/12/2020,14.62
30/12/2020,14.72
31/12/2020,14.64
01/01/2021,14.48
04/01/2021,14.65
05/01/2021,14.68
06/01/2021,14.95
07/01/2021,15.03
08/01/2021,15.42
11/01/2021,15.30
12/01/2021,15.51
13/01/2021,15.19
14/01/2021,15.25
15/01/2021,15.08
18/01/2021,15.23
19/01/2021,15.14
20/01/2021,14.99
21/01/2021,14.88
22/01/2021,14.95
25/01/2021,15.13
26/01/2021,15.21
27/01/2021,15.04
28/01/2021,15.26
29/01/2021,15.19
01/02/2021,15.17
02/02/2021,15.06
03/02/2021,14.91
04/02/2021,14.89
05/02/2021,14.99
08/02/2021,14.92
09/02/2021,14.86
10/02/2021,14.70
11/02/2021,14.75
12/02/2021,14.61
15/02/2021,14.54
16/02/2021,14.43
17/02/2021,14.67
18/02/2021,14.56
19/02/2021,14.59
22/02/2021,14.66
23/02/2021,14.66
24/02/2021,14.55
25/02/2021,14.48
26/02/2021,15.00
01/03/2021,15.04
02/03/2021,14.96
03/03/2021,14.92
04/03/2021,15.06
05/03/2021,15.28
08/03/2021,15.31
09/03/2021,15.52
10/03/2021,15.28
11/03/2021,15.07
12/03/2021,14.80
15/03/2021,14.94
16/03/2021,14.85
17/03/2021,14.86
18/03/2021,14.61
19/03/2021,14.73
22/03/2021,14.81
23/03/2021,14.70
24/03/2021,14.88
25/03/2021,14.95
26/03/2021,15.00
29/03/2021,14.97
30/03/2021,14.91
31/03/2021,14.90
01/04/2021,14.78
02/04/2021,14.61
05/04/2021,14.62
06/04/2021,14.55
07/04/2021,14.51
08/04/2021,14.54
09/04/2021,14.52
12/04/2021,14.58
13/04/2021,14.56
